title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats
Ford Focus Active,16250,19195,2020,,Petrol,Estate,1.0L,Manual,5,5
Renault Clio,6495,74434,2017,2,Petrol,Hatchback,1.1L,Manual,5,5
Volkswagen T-cross,17670,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5
Toyota Yaris,13000,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5
Vauxhall Corsa,9300,29871,2019,,Petrol,Hatchback,1.4L,Manual,5,5
Renault Arkana,21495,16228,2023,1,Petrol,SUV,1.3L,Automatic,5,5
Nissan Micra,6550,104000,2017,2,Diesel,Hatchback,1.5L,Manual,5,5
Citroen C1,4300,45000,2012,,Petrol,Hatchback,1.0L,Manual,5,4
Ford Fiesta,6995,28249,2013,,Petrol,Hatchback,1.2L,Manual,5,5
Nissan Juke,6495,81761,2013,3,Petrol,SUV,1.6L,Automatic,5,5
Nissan Qashqai,14000,50888,2017,1,Diesel,SUV,1.6L,Automatic,5,5
Ford Kuga,13995,58223,2018,2,Diesel,SUV,1.5L,Manual,5,5
Renault Grand Scenic,4000,73000,2011,2,Diesel,MPV,1.5L,Automatic,5,7
Toyota Yaris,13000,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5
BMW 2 Series,17599,26607,2019,,Petrol,Coupe,1.5L,Automatic,2,4
Nissan Micra,2685,75000,2008,,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Corsa,6495,26000,2012,,Petrol,Hatchback,1.2L,Manual,3,5
Volkswagen Scirocco Diesel Coupe,11497,65946,2014,2,Diesel,Hatchback,2.0L,Automatic,3,4
BMW Z4,5000,45979,2006,2,Petrol,Convertible,2.5L,Manual,2,2
Renault Captur,6499,72376,2014,4,Diesel,SUV,1.5L,Manual,5,5
Nissan Qashqai,9899,31859,2014,2,Petrol,SUV,1.2L,Manual,5,5
BMW 5 Series,5400,121433,2011,3,Diesel,Saloon,2.0L,Automatic,4,5
Audi A6,13995,39253,2014,2,Diesel,Saloon,2.0L,Manual,4,5
Ford Focus,11995,36132,2017,2,Diesel,Hatchback,1.5L,Manual,5,5
BMW 2 Series,17599,26607,2019,,Petrol,Coupe,1.5L,Automatic,2,4
Renault Clio,11890,49908,2021,,Petrol,Hatchback,1.0L,Manual,5,5
BMW 1 Series,5995,38500,2012,1,Diesel,Hatchback,2.0L,Manual,5,5
Ford Fiesta,3999,102500,2013,2,Petrol,Hatchback,1.0L,Manual,5,5
Land Rover Discovery Sport,23600,41995,2017,,Diesel,SUV,2.0L,Automatic,5,7
Vauxhall Crossland X,10599,43941,2020,1,Petrol,SUV,1.2L,Manual,5,5
Volvo C70,7495,55035,2011,,Diesel,Convertible,2.0L,Manual,2,4
Nissan Qashqai,11999,60985,2018,1,Diesel,SUV,1.5L,Manual,5,5
BMW X1,18499,24554,2019,1,Petrol,SUV,1.5L,Manual,5,5
Mazda MAZDA3 HATCHBACK,11620,41284,2016,2,Petrol,Hatchback,2.0L,Manual,5,5
Volkswagen Polo,4280,78473,2008,2,Petrol,Hatchback,1.4L,Automatic,5,5
Mazda MX-5,11399,41534,2015,1,Petrol,Convertible,1.5L,Manual,2,2
Renault Clio,11890,49908,2021,,Petrol,Hatchback,1.0L,Manual,5,5
Toyota Yaris,13000,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5
Renault Captur,8499,47797,2016,4,Diesel,SUV,1.5L,Manual,5,5
Ford Fiesta,8795,36000,2016,,Petrol,Hatchback,1.0L,Manual,5,5
KIA Sportage,7900,69000,2012,,Diesel,SUV,1.7L,Manual,5,5
Land Rover Range Rover Evoque,15995,44370,2013,4,Diesel,Coupe,2.2L,Automatic,3,5
Vauxhall Meriva,6990,34000,2015,2,Petrol,MPV,1.4L,Automatic,5,5
BMW 3 SERIES,18695,93289,2019,2,Diesel,Saloon,2.0L,Automatic,4,5
Volkswagen Golf Hatchback,8663,75598,2013,2,Petrol,Hatchback,1.4L,Manual,5,5
Peugeot 208,13999,21469,2021,1,Petrol,Hatchback,1.2L,Manual,5,5
Renault Clio,6495,74434,2017,2,Petrol,Hatchback,1.1L,Manual,5,5
Toyota Yaris,13000,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5
Nissan Qashqai,14990,45774,2020,,Petrol,SUV,1.3L,Automatic,5,5
Vauxhall Crossland,13919,18920,2021,1,Petrol,SUV,1.2L,Manual,5,5
Audi A3,14500,74000,2016,2,Diesel,Saloon,2.0L,Automatic,4,5
DS Automobiles DS 7 CROSSBACK,19500,12716,2018,2,Petrol,SUV,1.6L,Automatic,5,5
Volkswagen Golf,6990,40000,2013,,Petrol,Convertible,1.4L,Manual,2,4
Renault Clio,7995,47244,2016,2,Petrol,Hatchback,0.9L,Manual,5,5
Volkswagen Passat Petrol/electric Saloon,12995,90120,2018,,Petrol Plug-in Hybrid,Saloon,1.4L,Automatic,4,5
Vauxhall Corsa,10361,46625,2020,3,Petrol,Hatchback,1.2L,Manual,5,5
Nissan Qashqai,9000,78000,2014,,Petrol,SUV,1.2L,Manual,5,5
Renault Clio,11999,14829,2020,1,Petrol,Hatchback,1.0L,Manual,5,5
Mercedes-Benz SL Class,9000,96900,2009,6,Petrol,Convertible,3.5L,Automatic,2,2
Volkswagen Polo,15970,11500,2021,1,Petrol,Hatchback,1.0L,Manual,5,5
Nissan Leaf,5390,60695,2014,,Electric,Hatchback,,Automatic,5,5
Peugeot 2008 ESTATE,8460,57760,2016,2,Petrol,SUV,1.2L,Manual,5,5
Lagonda LG6 Roadster,14995,84000,1953,,Petrol,Saloon,2.6L,Manual,4,
Suzuki Ignis,10699,23250,2017,2,Petrol Hybrid,Hatchback,1.2L,Manual,5,4
Volkswagen Passat,14444,42500,2018,1,Diesel,Saloon,2.0L,Manual,4,5
Hyundai Tucson,14043,55012,2018,2,Diesel,SUV,1.7L,Manual,5,5
KIA Sportage Diesel Estate,14495,70542,2018,1,Diesel,SUV,1.6L,Manual,5,5
Renault Clio,11199,19861,2020,1,Petrol,Hatchback,1.0L,Manual,5,5
Volkswagen UP!,6795,28000,2014,,Petrol,Hatchback,1.0L,Manual,5,4
Vauxhall Ampera,9499,65767,2014,1,Petrol Plug-in Hybrid,Hatchback,,Automatic,5,4
Nissan Qashqai,8900,76431,2017,1,Petrol,SUV,1.2L,Manual,5,5
Toyota Aygo,1795,110000,2006,4,Petrol,Hatchback,1.0L,Manual,5,4
Nissan Leaf,5390,60695,2014,,Electric,Hatchback,,Automatic,5,5
Nissan Leaf,5390,60695,2014,,Electric,Hatchback,,Automatic,5,5
BMW 2 Series,21998,15744,2021,1,Petrol,Saloon,1.5L,Manual,4,5
Volkswagen UP,4699,72878,2013,3,Petrol,Hatchback,1.0L,Manual,5,4
MINI Hatch,10900,8700,2019,3,Petrol,Hatchback,1.5L,Manual,3,4
BMW 1 SERIES,8450,60028,2013,,Diesel,Coupe,2.0L,Manual,2,4
Ford Fiesta,6750,38500,2011,3,Petrol,Hatchback,1.4L,Automatic,5,5
Peugeot RCZ,5800,80000,2012,,Diesel,Coupe,2.0L,Manual,2,4
MINI Hatchback,14599,29205,2018,,Petrol,Hatchback,1.5L,Automatic,5,5
Nissan Qashqai,14990,45774,2020,,Petrol,SUV,1.3L,Automatic,5,5
Volkswagen T-cross,17670,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5
Maserati Quattroporte,10000,72000,2009,3,Petrol,Saloon,4.2L,Automatic,4,5
Hyundai i10,9495,41491,2019,1,Petrol,Hatchback,1.2L,Manual,5,5
Renault Clio,13999,12294,2022,2,Petrol,Hatchback,1.0L,Manual,5,5
Ford Ecosport Hatchback,14315,15102,2020,1,Petrol,SUV,1.0L,Manual,5,5
Mercedes-Benz M Class,10850,107500,2007,5,Petrol,SUV,6.3L,Automatic,5,5
Mazda MX-5,13399,47380,2017,1,Petrol,Convertible,2.0L,Manual,2,2
Vauxhall Crossland X,13000,16097,2020,1,Petrol,SUV,1.2L,Manual,5,5
Hyundai i20,1850,105472,2009,4,Petrol,Hatchback,1.2L,Manual,3,5
Renault Clio,11890,49908,2021,,Petrol,Hatchback,1.0L,Manual,5,5
Volkswagen T-cross,17670,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5
Volkswagen Golf,12995,96354,2017,2,Diesel,Hatchback,2.0L,Manual,5,5
Vauxhall Mokka X,9299,50560,2018,1,Diesel,SUV,1.6L,Manual,5,5
Ford Focus Diesel Hatchback,12250,45798,2019,4,Diesel,Hatchback,1.5L,Manual,5,5
Vauxhall Corsa,13999,13451,2021,1,Petrol,Hatchback,1.2L,Manual,5,5
Subaru Forester,4990,120403,2013,3,Diesel,SUV,2.0L,Manual,5,5
Ford Mondeo,8295,97726,2017,1,Diesel,Hatchback,2.0L,Manual,5,5
Peugeot 3008,22999,15387,2021,1,Diesel,SUV,1.5L,Automatic,5,5
Nissan Juke,13499,30053,2020,1,Petrol,SUV,1.0L,Manual,5,5
BMW 3 Series,22600,24098,2018,2,Diesel,Saloon,3.0L,Automatic,4,5
Ford Kuga,14595,47313,2018,2,Diesel,SUV,2.0L,Manual,5,5
Renault Grand Scenic,4000,73000,2011,2,Diesel,MPV,1.5L,Automatic,5,7
Toyota Yaris,13000,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5
Nissan Leaf,5390,60695,2014,,Electric,Hatchback,,Automatic,5,5
Renault Captur,13364,17000,2020,1,Petrol,SUV,1.0L,Manual,5,5
SEAT Ibiza,12495,43845,2019,1,Petrol,Hatchback,1.0L,Manual,5,5
Audi A3 HATCHBACK,15361,39611,2016,1,Petrol,Hatchback,1.4L,Manual,3,5
Jaguar XE,9495,71000,2016,2,Diesel,Saloon,2.0L,Manual,4,5
KIA Xceed,15998,22714,2020,,Petrol,SUV,1.0L,Manual,5,5
Jaguar XE,7499,91000,2015,2,Diesel,Saloon,2.0L,Manual,4,5
DS Automobiles Ds 3 Crossback,13150,44026,2019,,Diesel,SUV,1.5L,Manual,5,5
Nissan Leaf,5390,60695,2014,,Electric,Hatchback,,Automatic,5,5
Toyota Aygo,10700,16420,2019,,Petrol,Hatchback,1.0L,Manual,5,4
Vauxhall Insignia,6995,64387,2016,2,Diesel,Hatchback,2.0L,Manual,5,5
Audi Q5,10750,126000,2013,,Diesel,SUV,2.0L,Automatic,5,5
Nissan Qashqai Hatchback,10981,46500,2016,2,Petrol,SUV,1.2L,Manual,5,5
Citroen C1,6995,29521,2014,,Petrol,Hatchback,1.0L,Manual,5,4
Vauxhall Corsa,11799,20405,2020,2,Petrol,Hatchback,1.2L,Manual,5,5
Ford Mondeo,9995,104795,2019,,Diesel,Hatchback,2.0L,Manual,5,5
Infiniti Q50,7490,117000,2014,2,Diesel,Saloon,2.2L,Automatic,4,5
Fiat Fullback,8388,155000,2016,2,Diesel,Pickup,2.4L,Manual,4,5
Hyundai i10,10595,8981,2019,,Petrol,Hatchback,1.0L,Manual,5,5
Mercedes-Benz C Class,2495,135000,2007,,Diesel,Estate,2.1L,Automatic,5,5
Toyota Aygo,10700,16420,2019,,Petrol,Hatchback,1.0L,Manual,5,4
Volkswagen T-cross,17670,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5
KIA RIO,7499,51234,2016,2,Diesel,Hatchback,1.4L,Manual,5,5
Audi S3,10995,80000,2010,6,Petrol,Hatchback,2.0L,Automatic,5,5
Audi A1,6995,80000,2013,,Petrol,Hatchback,1.2L,Manual,3,4
Vauxhall Insignia,4450,108618,2013,,Diesel,Estate,2.0L,Manual,5,5
Audi A1 SPORTBACK,10802,52153,2017,2,Petrol,Hatchback,1.0L,Manual,5,5
Vauxhall Corsa,4995,103359,2017,,Petrol,Hatchback,1.4L,Manual,3,5
Ford Kuga,15000,39579,2020,1,Diesel,SUV,2.0L,Manual,5,5
Ford Fiesta,2995,89999,2011,,Petrol,Hatchback,1.3L,Manual,3,5
Renault Clio,11890,49908,2021,,Petrol,Hatchback,1.0L,Manual,5,5
Nissan Leaf,5390,60695,2014,,Electric,Hatchback,,Automatic,5,5
Citroen C3,10381,33896,2018,2,Petrol,Hatchback,1.2L,Manual,5,5
MG MG ZS,18365,1,2023,,Petrol,SUV,1.5L,Manual,5,5
Mercedes-Benz E Class,11050,66358,2014,5,Diesel,Coupe,2.1L,Automatic,2,4
SEAT Ateca,25995,222,2023,,Petrol,SUV,1.5L,Manual,5,5
Mercedes-Benz A Class Diesel Hatchback,12495,62012,2016,1,Diesel,Hatchback,1.5L,Manual,5,5
Nissan Qashqai,12299,68273,2017,3,Diesel,SUV,1.6L,Manual,5,5
Volkswagen Golf,12495,48690,2017,,Petrol,Hatchback,1.4L,Manual,5,5
Nissan Qashqai,12795,68676,2018,2,Diesel,SUV,1.5L,Manual,5,5
Audi A7,10495,82000,2013,4,Diesel,Hatchback,3.0L,Automatic,5,5
Vauxhall Corsa,12699,40105,2021,1,Petrol,Hatchback,1.2L,Manual,5,5
Nissan Leaf,5390,60695,2014,,Electric,Hatchback,,Automatic,5,5
Renault Clio,11890,49908,2021,,Petrol,Hatchback,1.0L,Manual,5,5
Peugeot 208,7180,28491,2015,1,Petrol,Hatchback,1.2L,Manual,3,5
Peugeot 3008,7995,63845,2015,,Diesel,SUV,1.6L,Manual,5,5
BMW 1 Series,18798,13271,2020,1,Petrol,Hatchback,1.5L,Manual,5,5
Fiat 500,11495,20000,2022,,Petrol,Hatchback,1.0L,Manual,3,4
Dacia Sandero Stepway,5490,49432,2014,,Diesel,Hatchback,1.5L,Manual,5,5
Volkswagen Golf,7000,130000,1988,1,Petrol,Convertible,1.8L,Manual,2,
Vauxhall Astra,6850,100569,2018,1,Diesel,Estate,1.6L,Manual,5,5
Renault Grand Scenic,4000,73000,2011,2,Diesel,MPV,1.5L,Automatic,5,7
Toyota Yaris,13000,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5
Volkswagen T-cross,17670,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5
BMW 4 Series,11495,120000,2016,,Diesel,Coupe,2.0L,Automatic,2,4
BMW 3 Series,23220,36795,2020,1,Diesel Hybrid,Saloon,2.0L,Automatic,4,5
Abarth 595,11699,42237,2018,,Petrol,Hatchback,1.4L,Manual,3,4
Vauxhall Mokka,4600,121910,2013,1,Diesel,SUV,1.7L,Manual,5,5
Ford Ecosport Hatchback,11990,36046,2018,2,Petrol,SUV,1.0L,Manual,5,5
Hyundai Tucson,12500,45540,2018,1,Petrol,SUV,1.6L,Manual,5,5
Vauxhall Astra,5300,57379,2015,3,Petrol,Hatchback,1.4L,Manual,5,5
Ford Kuga,21798,12080,2020,,Diesel,SUV,1.5L,Manual,5,5
Nissan Micra,10999,30845,2020,1,Petrol,Hatchback,1.0L,Manual,5,5
Audi A6,25000,34364,2019,1,Diesel,Estate,2.0L,Automatic,5,5
Toyota Aygo,1795,110000,2006,4,Petrol,Hatchback,1.0L,Manual,5,4
Renault Clio,11890,49908,2021,,Petrol,Hatchback,1.0L,Manual,5,5
Mercedes-Benz A Class,12995,38000,2013,1,Petrol,Hatchback,1.6L,Automatic,5,5
Renault Clio,9290,29264,2018,1,Petrol,Hatchback,0.9L,Manual,5,5
Volkswagen Passat,13150,65641,2019,1,Diesel,Saloon,2.0L,Manual,4,5
Dacia Logan MCV,9995,36588,2019,,Diesel,Estate,1.5L,Manual,5,5
Citroen C3 Aircross,14436,16983,2021,1,Petrol,SUV,1.2L,Manual,5,5
Renault Koleos,16995,38252,2018,2,Diesel,SUV,2.0L,Automatic,5,5
Hyundai i10,7290,42040,2017,,Petrol,Hatchback,1.2L,Manual,5,5
Peugeot 208 PURETECH ACTIVE PREMIUM S/S HATCHBACK,14150,21777,2022,1,Petrol,Hatchback,1.2L,Manual,5,5
Toyota Aygo,1795,110000,2006,4,Petrol,Hatchback,1.0L,Manual,5,4
Renault Clio,11890,49908,2021,,Petrol,Hatchback,1.0L,Manual,5,5
Volkswagen Polo,15970,11500,2021,1,Petrol,Hatchback,1.0L,Manual,5,5
Audi A6,15799,84292,2018,2,Diesel,Saloon,2.0L,Automatic,4,5
Vauxhall Corsa,13999,13315,2020,1,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Crossland X,12399,16497,2020,1,Petrol,SUV,1.2L,Manual,5,5
Renault Clio,14499,24424,2022,1,Petrol,Hatchback,1.0L,Manual,5,5
Nissan Juke,9799,33371,2017,2,Petrol,SUV,1.2L,Manual,5,5
Mercedes-Benz A-class,17000,44956,2019,1,Petrol,Hatchback,1.3L,Manual,5,5
MINI Hatch,4395,63500,2008,2,Petrol,Hatchback,1.6L,Automatic,3,4
Dacia Duster Estate,14899,10424,2022,1,Petrol,SUV,1.0L,Manual,5,5
MINI Hatch,16900,19385,2021,1,Petrol,Hatchback,1.5L,Manual,3,4
Volkswagen T-cross,17670,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5
Nissan Qashqai,14990,45774,2020,,Petrol,SUV,1.3L,Automatic,5,5
Mercedes-Benz E Class,5850,102000,2013,3,Diesel,Saloon,2.1L,Manual,4,5
Citroen C3 PICASSO,7995,32947,2017,,Diesel,MPV,1.6L,Manual,5,5
Vauxhall Corsa,6995,48890,2015,,Petrol,Hatchback,1.4L,Manual,5,5
Jaguar XE,16950,23982,2016,2,Diesel,Saloon,2.0L,Automatic,4,5
Renault Captur,9195,57005,2017,2,Diesel,SUV,1.5L,Manual,5,5
Vauxhall Corsa,10999,6669,2019,1,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Golf Diesel Hatchback,6588,73500,2011,2,Diesel,Hatchback,1.6L,Manual,5,5
Nissan Qashqai,8490,73010,2014,2,Diesel,SUV,1.5L,Manual,5,5
Volkswagen Polo,13170,17422,2019,2,Petrol,Hatchback,1.0L,Manual,5,5
Volkswagen Beetle,10995,77250,2013,2,Petrol,Convertible,1.4L,Manual,2,4
Mercedes-Benz C Class,2495,135000,2007,,Diesel,Estate,2.1L,Automatic,5,5
Volkswagen T-cross,17670,14385,2021,1,Petrol,SUV,1.0L,Manual,5,5
Volkswagen Polo,15970,11500,2021,1,Petrol,Hatchback,1.0L,Manual,5,5
Land Rover Discovery 4,15500,111643,2015,4,Diesel,SUV,3.0L,Automatic,5,7
Audi Q2 ESTATE,16995,39950,2017,1,Petrol,SUV,1.4L,Manual,5,5
Audi Q3,11490,100000,2015,,Diesel,SUV,2.0L,Automatic,5,5
Ford Fiesta,5495,67000,2014,,Diesel,Hatchback,1.6L,Manual,5,5
Volkswagen Polo,7995,53727,2016,1,Petrol,Hatchback,1.0L,Manual,3,5
Volkswagen UP,6750,55559,2023,,Petrol,Hatchback,1.0L,Manual,5,4
Fiat 500X,12995,20704,2019,2,Petrol,SUV,1.0L,Manual,5,5
Renault Megane,12299,36000,2019,2,Petrol,Estate,1.3L,Manual,5,5
Volkswagen Scirocco Diesel Coupe,11289,67202,2016,1,Diesel,Hatchback,2.0L,Manual,3,4
Nissan Juke,11000,45462,2019,1,Petrol,SUV,1.6L,Manual,5,5
Jaguar XJ,8490,50679,2006,5,Diesel,Saloon,2.7L,Automatic,4,5
Hyundai Tucson,12999,26286,2018,1,Petrol,SUV,1.6L,Manual,5,5
Mercedes-Benz C Class,15500,84400,2014,5,Diesel,Saloon,2.1L,Automatic,4,5
Vauxhall Insignia Grand Sport,11795,41887,2017,2,Diesel,Hatchback,1.6L,Manual,5,5
Vauxhall Mokka X,10999,44728,2018,2,Petrol,SUV,1.4L,Manual,5,5
BMW 1 SERIES,16099,47964,2017,1,Petrol,Hatchback,1.5L,Automatic,5,5
Volkswagen Passat,13199,62000,2018,1,Diesel,Saloon,2.0L,Automatic,4,5
Volkswagen Sharan,4575,160291,2005,1,Diesel,MPV,1.9L,Manual,5,7
Citroen C3,10256,31595,2018,2,Petrol,Hatchback,1.2L,Manual,5,5
BMW 2 Series,17599,26607,2019,,Petrol,Coupe,1.5L,Automatic,2,4
Toyota Yaris,13000,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5
BMW 2 SERIES DIESEL GRAN TOURER,14447,60459,2016,3,Diesel,MPV,2.0L,Manual,5,7
Vauxhall Corsa,13999,8720,2021,1,Petrol,Hatchback,1.2L,Manual,5,5
Renault Clio,13499,28688,2022,1,Petrol,Hatchback,1.0L,Manual,5,5
Mercedes-Benz A Class,17899,55461,2019,2,Petrol,Hatchback,1.3L,Manual,5,5
Citroen Grand C4 Picasso,7790,80861,2016,2,Diesel,MPV,1.6L,Manual,5,7
Peugeot 208,16899,7794,2020,1,Petrol,Hatchback,1.2L,Automatic,5,5
Vauxhall Corsa,8799,39065,2019,3,Petrol,Hatchback,1.4L,Manual,3,5
BMW 1 Series,7500,128000,2012,3,Diesel,Hatchback,2.0L,Automatic,5,5
Renault Megane,4400,36063,2012,2,Petrol,Hatchback,1.6L,Manual,5,5
Renault Grand Scenic,4000,73000,2011,2,Diesel,MPV,1.5L,Automatic,5,7
Nissan Leaf,5390,60695,2014,,Electric,Hatchback,,Automatic,5,5
Toyota Aygo,10700,16420,2019,,Petrol,Hatchback,1.0L,Manual,5,4
Citroen C3,10998,22506,2019,2,Petrol,Hatchback,1.2L,Manual,5,5
BMW 1 Series,9995,97000,2016,2,Diesel,Hatchback,2.0L,Manual,5,5
Citroen C3,4700,50000,2013,,Diesel,Hatchback,1.4L,Manual,5,5
Nissan Juke,11000,45462,2019,1,Petrol,SUV,1.6L,Manual,5,5
Volkswagen Golf,8995,72400,2015,2,Petrol,Hatchback,1.4L,Manual,5,5
MINI Hatch,9299,58700,2013,2,Petrol,Hatchback,1.6L,Manual,3,4
SEAT Ibiza,17899,18746,2022,1,Petrol,Hatchback,1.0L,Automatic,5,5
Volkswagen Polo,10498,34133,2016,,Petrol,Hatchback,1.0L,Manual,5,5
Toyota Aygo,10700,16420,2019,,Petrol,Hatchback,1.0L,Manual,5,4
Vauxhall Crossland X Hatchback,10999,26000,2019,1,Petrol,SUV,1.2L,Manual,5,5
Ford Focus Diesel Hatchback,15999,21000,2020,1,Diesel,Hatchback,1.5L,Manual,5,5
Mercedes-Benz GLE Class,33900,92000,2019,1,Diesel,SUV,2.0L,Automatic,5,5
Mazda MAZDA6 TOURER,23910,23178,2020,1,Petrol,Estate,2.5L,Automatic,5,5
Peugeot 108,8695,25846,2018,1,Petrol,Hatchback,1.2L,Manual,5,4
Vauxhall Crossland X,13499,19632,2020,1,Petrol,SUV,1.2L,Manual,5,5
Hyundai i20,1850,105472,2009,4,Petrol,Hatchback,1.2L,Manual,3,5
Toyota Aygo,10700,16420,2019,,Petrol,Hatchback,1.0L,Manual,5,4
MINI Hatch Cooper,6995,57237,2014,2,Diesel,Hatchback,1.5L,Manual,3,4
MG MG ZS,18515,1,2023,,Petrol,SUV,1.5L,Manual,5,5
Ford Fiesta,10883,26451,2017,,Petrol,Hatchback,1.0L,Manual,5,5
KIA Sportage Estate,15862,29246,2019,2,Petrol,SUV,1.6L,Manual,5,5
BMW 5 Series,12999,85000,2014,2,Diesel,Saloon,2.0L,Automatic,4,5
Volvo V60,9990,70325,2016,3,Diesel,Estate,2.0L,Manual,5,5
BMW X3 Series,28240,45155,2019,1,Diesel,SUV,2.0L,Automatic,5,5
Ford Fiesta,7695,44500,2016,,Petrol,Hatchback,1.3L,Manual,3,5
Audi Q5,9990,96000,2012,2,Diesel,SUV,2.0L,Automatic,5,5
Vauxhall Corsa,13995,6461,2020,1,Petrol,Hatchback,1.2L,Manual,5,5
Toyota Yaris,13000,51179,2019,1,Petrol Hybrid,Hatchback,1.5L,Automatic,5,5
BMW 2 Series,17599,26607,2019,,Petrol,Coupe,1.5L,Automatic,2,4
Land Rover Range Rover Sport,25995,36363,2015,,Diesel,SUV,3.0L,Automatic,5,5
Citroen C3 AIRCROSS,9500,49047,2018,2,Diesel,SUV,1.6L,Manual,5,5
Ford Fiesta,10699,41485,2020,1,Petrol,Hatchback,1.0L,Manual,5,5
Volkswagen Caddy Maxi Life,8995,119842,2014,,Diesel,MPV,1.6L,Automatic,5,7
Jeep Renegade,10300,61000,2015,2,Petrol,SUV,1.4L,Manual,5,5
KIA Xceed Hatchback,18499,4000,2021,1,Petrol,SUV,1.0L,Manual,5,5
Vauxhall Crossland X,13599,17782,2020,1,Petrol,SUV,1.2L,Manual,5,5
Vauxhall Astra,10600,30407,2019,1,Diesel,Hatchback,1.6L,Manual,5,5
Nissan Qashqai,14999,30287,2019,1,Diesel,SUV,1.5L,Manual,5,5
Peugeot 508,17999,58256,2021,2,Petrol,Estate,1.6L,Automatic,5,5
BMW 2 Series,17599,26607,2019,,Petrol,Coupe,1.5L,Automatic,2,4
MINI Hatch,11999,33156,2018,1,Petrol,Hatchback,1.5L,Manual,5,5
Renault Clio,500,138061,2007,5,Petrol,Hatchback,1.4L,Manual,3,5
Ford Focus,750,124512,2007,3,Diesel,Hatchback,1.6L,Manual,5,5
BMW 3 Series,2999,118000,2008,,Diesel,Convertible,3.0L,Automatic,2,4
SEAT Ibiza,400,120842,2010,4,Diesel,Hatchback,1.2L,Manual,3,5
Ford Fiesta,499,111875,2007,4,Petrol,Hatchback,1.4L,Manual,3,5
Peugeot 307 CC,700,114053,2006,1,Petrol,Convertible,1.6L,Manual,2,4
Mazda MX-5,799,131848,2004,4,Petrol,Convertible,1.8L,Manual,2,2
Fiat Stilo,640,71000,2004,,Petrol,Hatchback,1.4L,Manual,5,5
Ford KA,700,70321,2008,6,Petrol,Hatchback,1.3L,Manual,3,5
Vauxhall Corsa,850,92000,2009,3,Petrol,Hatchback,1.4L,Manual,5,5
Toyota Verso,1575,118000,2010,3,Diesel,MPV,2.0L,Manual,5,7
MINI Hatch,11999,33156,2018,1,Petrol,Hatchback,1.5L,Manual,5,5
MINI Convertible,1000,93552,2004,4,Petrol,Convertible,1.6L,Manual,2,4
Audi A4,950,127000,2009,5,Petrol,Saloon,1.8L,Manual,4,5
Renault Clio,800,103200,2008,3,Petrol,Hatchback,1.2L,Manual,3,5
Peugeot 206,950,62694,2005,4,Petrol,Hatchback,1.4L,Manual,3,5
Peugeot 207,1990,81000,2012,4,Petrol,Hatchback,1.4L,Manual,5,5
Renault Twingo,1695,66700,2008,,Petrol,Hatchback,1.2L,Manual,3,4
Peugeot 207,1500,48000,2008,3,Diesel,Hatchback,1.6L,Manual,5,5
Vauxhall Corsa,1000,99513,2008,3,Petrol,Hatchback,1.2L,Manual,5,5
Mitsubishi Outlander,795,98000,2012,5,Diesel,SUV,2.2L,Manual,5,7
Hyundai Coupe,1495,64000,2005,,Petrol,Coupe,1.6L,Manual,3,4
Honda Civic,699,159630,2004,1,Petrol,Hatchback,1.4L,Manual,5,5
Peugeot 208,2990,91000,2014,2,Diesel,Hatchback,1.4L,Manual,3,5
Audi A6 Allroad,595,174009,2003,1,Diesel,Estate,2.5L,Automatic,5,5
Peugeot 207,945,89500,2011,5,Petrol,Hatchback,1.6L,Manual,3,5
Vauxhall Zafira,1500,77175,2006,3,Petrol,MPV,1.8L,Manual,5,7
SKODA Octavia,799,117072,2005,4,Diesel,Hatchback,1.9L,Manual,5,5
Vauxhall Tigra,800,99464,2008,5,Petrol,Convertible,1.4L,Manual,2,2
SEAT Toledo,700,168870,2001,1,Diesel,Saloon,1.9L,Manual,4,5
BMW X5,4495,115000,2007,,Diesel,SUV,3.0L,Automatic,5,5
Vauxhall Corsa,2789,135000,2015,,Petrol,Hatchback,1.4L,Manual,3,5
Volkswagen Jetta,6698,61637,2013,,Diesel,Saloon,2.0L,Manual,4,5
Vauxhall Corsa,1000,78648,2005,1,Petrol,Hatchback,1.2L,Manual,5,5
Volkswagen Polo,2999,121639,2010,3,Petrol,Hatchback,1.2L,Manual,3,5
